Roll,Category,Storlek_pa_Stad,Senioritet,Platform,Total_Impressions,Total_Clicks,Total_Spend_SEK,Campaign_Days,CTR_Percent,CPC_SEK,Daily_Spend_SEK,Company,Industry,Target_Audience,Country,Location,Campaign_Step,Confidence,Campaign_ID,Original_Campaign_Name
Logistikkoordinator,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,1411067,69352,52742.48,453,4.915,0.76,116.43,Rusta Sverige (101),Retail & Grocery Stores,Logistics & Transportation,Sweden,Multiple Cities,Step 2/3,1.0,23851682194320147,Rusta Sverige (101) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Sweden - Multiple Cities - Edvin - Varuhus
Butikssäljare,Retail & Grocery Stores,Mellanstor stad,Unknown,Facebook,924549,21612,52067.6,454,2.338,2.41,114.69,Rusta Tyskland (304),Retail & Grocery Stores,Retail & Grocery Stores,Germany,City,Step 2/3,1.0,23852756869570365,Rusta Tyskland (304) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Germany - City - Edvin
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Facebook,924052,11587,51912.53,455,1.254,4.48,114.09,Pricer (483),Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 1/3,1.0,23852316310310327,Pricer (483) - Employer Branding - Step 1/3 - Awareness - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Sjuksköterska,Healthcare,Multiple Cities,Unknown,Facebook,721351,24332,49566.78,432,3.373,2.04,114.74,Remeo,Healthcare,Health Care,Sweden,Multiple cities,Step 1/3,1.0,23852348453890063,Remeo - Employer Branding - Step 1/3 - Awareness - CI: Healthcare - TA: Health Care - Sweden - Multiple cities - Edvin
Ingenjör,Manufacturing & Industry,Multiple Cities,Unknown,Facebook,905420,24785,49339.8,458,2.737,1.99,107.73,Dekra Industrial (350),Manufacturing & Industry,Engineering,Sweden,Multiple Cities,Step 1/3,1.0,23852239755010601,Dekra Industrial (350) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Engineering - Sweden - Multiple Cities - Edvin
Logistikkoordinator,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,628971,40365,46919.92,452,6.418,1.16,103.81,Rusta Finland (309),Retail & Grocery Stores,Logistics & Transportation,Finland,Multiple Cities,Step 1/3,1.0,23850991181080592,Rusta Finland (309) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Finland - Multiple Cities - Edvin - Varuhus
Digital marknadsförare,Automotive,Multiple Cities,Unknown,Facebook,754780,21912,46535.87,332,2.903,2.12,140.17,Werksta (XXX),Automotive,Marketing,Sweden,Multiple Cities,Step 1/3,1.0,120208472227980716,Werksta (XXX) - Employer Branding - Step 1/3 - Awareness - CI: Automotive - TA: Marketing - Sweden - Multiple Cities - Moa - N:
IT-specialist,Data & IT,Multiple Cities,Unknown,Facebook,687142,10400,45361.23,458,1.514,4.36,99.04,Advisense,Data & IT,Data & IT,Sweden,Multiple Cities,Step 1/3,1.0,120205333933560632,Advisense - Employer Branding - Step 1/3 - Awareness - CI: Data & IT - TA: Data & IT - Sweden - Multiple Cities - Moa - N:
Ingenjör,Manufacturing & Industry,Multiple Cities,Unknown,Linkedin,159111,359,45127.62,408,0.226,125.7,110.61,Dekra Industrial (350),Manufacturing & Industry,Engineering,Sweden,Multiple Cities,Step 1/3,1.0,189983313,Dekra Industrial (350) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Engineering - Sweden - Multiple Cities - Edvin
Fastighetsmäklare,Real Estate,Stor stad,Unknown,Facebook,649033,26001,44081.0,458,4.006,1.7,96.25,Hemsö (115),Real Estate,Real Estate,Sweden,Stockholm,Step 1/3,1.0,23852029519670327,Hemsö (115) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin
IT-specialist,Data & IT,Multiple Cities,Unknown,Facebook,649721,38651,43966.28,458,5.949,1.14,96.0,Advania,Data & IT,Data & IT,Sweden,Multiple Cities,Step 1/1,1.0,23862072395510460,Advania - Employer Branding - Step 1/1 - Awareness - CI: Data & IT - TA: Data & IT - Sweden - Multiple Cities - Agnes - N:
Administrativ assistent,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,765129,35533,42645.54,453,4.644,1.2,94.14,Rusta Sverige (101),Retail & Grocery Stores,Head Office,Sweden,Multiple Cities,Step 1/3,1.0,23852012061730147,Rusta Sverige (101) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Head Office - Sweden - Multiple Cities - Edvin - HK
Allmän rekrytering,Safety & Security,Multiple Cities,Unknown,Facebook,491809,30408,42064.46,448,6.183,1.38,93.89,ISG Nordic  (678),Safety & Security,Multiple Target Audiences,Sweden,Multiple cities,Step 1/2,1.0,120209837030420278,ISG Nordic  (678) - Employer Branding - Step 1/2 - Awareness - CI: Safety & Security - TA: Multiple Target Audiences - Sweden - Multiple cities - Edvin
Ingenjör,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Facebook,1086348,39000,41743.39,458,3.59,1.07,91.14,Implenia,"Construction, Civil Engineering & Infrastructure","Construction, Civil Engineering & Infrastructure",Sweden,Multiple Cities,Step 2/3,1.0,23858790170640610,"Implenia - Employer Branding - Step 2/3 - Consideration - CI: Construction, Civil Engineering & Infrastructure - TA: Construction, Civil Engineering & Infrastructure - Sweden - Multiple Cities - Edvin"
Underhållstekniker,Manufacturing & Industry,Multiple Cities,Unknown,Facebook,531890,21357,41711.1,458,4.015,1.95,91.07,Getinge (283),Manufacturing & Industry,"Installation, Operations & Maintenance",Sweden,Multiple Cities,Step 1/3,1.0,23851932644710599,"Getinge (283) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Installation, Operations & Maintenance - Sweden - Multiple Cities - Edvin"
Underhållstekniker,Telecommunication,Multiple Cities,Unknown,Facebook,587081,20185,41675.43,322,3.438,2.06,129.43,Teracom (232),Telecommunication,"Installation, Operations & Maintenance",Sweden,Multiple cities,Step 1/3,1.0,23851790739720538,"Teracom (232) - Employer Branding - Step 1/3 - Awareness - CI: Telecommunication - TA: Installation, Operations & Maintenance - Sweden - Multiple cities - Edvin - Fält"
Allmän rekrytering,Logistics & Transportation,Mellanstor stad,Unknown,Facebook,717258,22107,40059.25,458,3.082,1.81,87.47,Elgiganten logistik,Logistics & Transportation,Multiple Target Audiences,Sweden,Jönköping,Step 1/3,1.0,120201990690830179,Elgiganten logistik - Employer Branding - Step 1/3 - Awareness - CI: Logistics & Transportation - TA: Multiple Target Audiences - Sweden - Jönköping - Edvin - N:
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Facebook,668396,12521,39679.86,458,1.873,3.17,86.64,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 1/3,1.0,23855395022810652,Epidemic Sound - Employer Branding - Step 1/3 - Awareness - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Fastighetsmäklare,Real Estate,Stor stad,Unknown,Linkedin,74570,739,38371.56,409,0.991,51.92,93.82,Hemsö (115),Real Estate,Real Estate,Sweden,Stockholm,Step 1/3,1.0,218029943,Hemsö (115) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin
Allmän rekrytering,Public Administration,Stor stad,Unknown,Facebook,478553,14363,36863.46,93,3.001,2.57,396.38,Trafikförvaltningen,Public Administration,Multiple Target Audiences,Sweden,Stockholm,Step 1/3,1.0,120210964835140675,Trafikförvaltningen - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Agnes - N:
Logistikkoordinator,Retail & Grocery Stores,Multiple Cities,Unknown,Snapchat,688402,18463,36674.02,403,2.682,1.99,91.0,Rusta Finland (309),Retail & Grocery Stores,Logistics & Transportation,Finland,Multiple Cities,Step 1/3,1.0,eb0e0f11-bdba-4f3d-bd34-79280dc1f472,Rusta Finland (309) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Finland - Multiple Cities - Edvin - Varuhus
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Tiktok,3034116,24846,36343.75,416,0.819,1.46,87.36,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 1/3,1.0,1770133804578850,Epidemic Sound - Employer Branding - Step 1/3 - Awareness - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Allmän rekrytering,Public Administration,Stor stad,Unknown,Linkedin,25192,144,35868.0,93,0.572,249.08,385.68,Trafikförvaltningen,Public Administration,Multiple Target Audiences,Sweden,Stockholm,Step 1/3,1.0,332836126,Trafikförvaltningen - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Agnes - N:
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Facebook,449980,6334,35596.47,455,1.408,5.62,78.23,Pricer (483),Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 2/3,1.0,23852316335960327,Pricer (483) - Employer Branding - Step 2/3 - Consideration - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Produktionstekniker,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Facebook,661434,20330,35210.02,451,3.074,1.73,78.07,Proco Services AB (780),"Construction, Civil Engineering & Infrastructure",Manufacturing & Production,Sweden,Multiple Cities,Step 1/3,1.0,23858639624430086,"Proco Services AB (780) - Employer Branding - Step 1/3 - Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Manufacturing & Production - Sweden - Multiple Cities - Edvin - N:"
Administrativ assistent,Data & IT,Multiple Cities,Unknown,Facebook,417669,12170,35205.72,458,2.914,2.89,76.87,GS1 (402),Data & IT,Head Office,Sweden,Multiple Cities,Step 1/3,1.0,23853384924760308,GS1 (402) - Employer Branding - Step 1/3 - Awareness - CI: Data & IT - TA: Head Office - Sweden - Multiple Cities - Edvin
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Linkedin,62751,345,35052.0,406,0.55,101.6,86.33,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 1/3,1.0,230022593,Epidemic Sound - Employer Branding - Step 1/3 - Awareness - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Ingenjör,Manufacturing & Industry,Multiple Cities,Unknown,Facebook,576059,18774,33915.26,458,3.259,1.81,74.05,Dekra Industrial (350),Manufacturing & Industry,Engineering,Sweden,Multiple Cities,Step 2/3,1.0,23852239767760601,Dekra Industrial (350) - Employer Branding - Step 2/3 - Consideration - CI: Manufacturing & Industry - TA: Engineering - Sweden - Multiple Cities - Edvin
Logistikkoordinator,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,479948,24259,33108.51,452,5.055,1.36,73.25,Rusta Finland (309),Retail & Grocery Stores,Logistics & Transportation,Finland,Multiple Cities,Step 2/3,1.0,23850991233470592,Rusta Finland (309) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Finland - Multiple Cities - Edvin - Varuhus - Special Ad Category
Ingenjör,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Linkedin,83190,756,32241.78,401,0.909,42.65,80.4,Implenia,"Construction, Civil Engineering & Infrastructure","Construction, Civil Engineering & Infrastructure",Sweden,Multiple Cities,Step 2/3,1.0,276382633,"Implenia - Employer Branding - Step 2/3 - Consideration - CI: Construction, Civil Engineering & Infrastructure - TA: Construction, Civil Engineering & Infrastructure - Sweden - Multiple Cities - Edvin"
Administrativ assistent,Retail & Grocery Stores,Multiple Cities,Unknown,Linkedin,331527,3646,32224.01,405,1.1,8.84,79.57,Rusta Sverige (101),Retail & Grocery Stores,Head Office,Sweden,Multiple Cities,Step 1/3,1.0,178165313,Rusta Sverige (101) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Head Office - Sweden - Multiple Cities - Edvin
Fastighetsmäklare,Real Estate,Multiple Cities,Unknown,Facebook,413387,25730,31916.07,457,6.224,1.24,69.84,Rikshem (199),Real Estate,Real Estate,Sweden,Multiple Cities,Step 1/3,1.0,23851275700860553,Rikshem (199) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Multiple Cities - Edvin - Special Ad
IT-specialist,Data & IT,Stor stad,Unknown,Facebook,464282,14381,31533.1,458,3.097,2.19,68.85,Hemnet (587),Data & IT,Data & IT,Sweden,Stockholm,Step 1/2,1.0,120206839819870424,Hemnet (587) - Employer Branding - Step 1/2 - Awareness/Consideration - CI: Data & IT - TA: Data & IT - Sweden - Stockholm - Edvin
Digital marknadsförare,Automotive,Multiple Cities,Unknown,Facebook,657474,32651,30981.15,332,4.966,0.95,93.32,Werksta (XXX),Automotive,Marketing,Sweden,Multiple Cities,Step 2/3,1.0,120208472910970716,Werksta (XXX) - Employer Branding - Step 2/3 - Consideration - CI: Automotive - TA: Marketing - Sweden - Multiple Cities - Moa - N:
Sjuksköterska,Healthcare,Multiple Cities,Unknown,Facebook,369085,16846,30696.79,445,4.564,1.82,68.98,Meliva (687),Healthcare,Health Care,Sweden,Multiple Cities,Step 1/3,1.0,120200928162320355,Meliva (687) - Employer Branding - Step 1/3 - Awareness - CI: Healthcare - TA: Health Care - Sweden - Multiple Cities - Edvin - N: Läkare
Ingenjör,Manufacturing & Industry,Multiple Cities,Unknown,Linkedin,88624,311,30337.1,404,0.351,97.55,75.09,Dekra Industrial (350),Manufacturing & Industry,Engineering,Sweden,Multiple Cities,Step 2/3,1.0,189993833,Dekra Industrial (350) - Employer Branding - Step 2/3 - Consideration - CI: Manufacturing & Industry - TA: Engineering - Sweden - Multiple Cities - Edvin
Ekonom,Consulting,Stor stad,Unknown,Facebook,392376,6799,30189.42,458,1.733,4.44,65.92,421 (194),Consulting,Economy & Finance,Sweden,Stockholm,Step 1/3,1.0,23852361391580429,421 (194) - Employer Branding - Step 1/3 - Awareness - CI: Consulting - TA: Economy & Finance - Sweden - Stockholm - Edvin
Fastighetsmäklare,Real Estate,Stor stad,Unknown,Facebook,357931,14122,29987.67,457,3.945,2.12,65.62,Fabege (36),Real Estate,Real Estate,Sweden,Stockholm,Step 1/3,1.0,23850976851430046,Fabege (36) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin
IT-specialist,Data & IT,Multiple Cities,Unknown,Facebook,520843,10581,29680.52,458,2.032,2.81,64.8,Advisense,Data & IT,Data & IT,Sweden,Multiple Cities,Step 2/3,1.0,120205334054860632,Advisense - Employer Branding - Step 2/3 - Consideration - CI: Data & IT - TA: Data & IT - Sweden - Multiple Cities - Moa - N:
Fastighetsmäklare,Real Estate,Stor stad,Unknown,Facebook,499362,26412,29333.09,458,5.289,1.11,64.05,Hemsö (115),Real Estate,Real Estate,Sweden,Stockholm,Step 2/3,1.0,23852030809320327,Hemsö (115) - Employer Branding - Step 2/3 - Consideration - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin
IT-specialist,Retail & Grocery Stores,Mellanstor stad,Unknown,Facebook,508656,12149,29020.38,458,2.388,2.39,63.36,Lindex (689),Retail & Grocery Stores,Data & IT,Sweden,Gothenburg,Step 2/3,1.0,23852994373990605,Lindex (689) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Data & IT - Sweden - Gothenburg - Edvin
Sjuksköterska,Healthcare,Multiple Cities,Unknown,Facebook,357693,17132,28932.91,445,4.79,1.69,65.02,Meliva (687),Healthcare,Health Care,Sweden,Multiple Cities,Step 2/3,1.0,120200928386740355,Meliva (687) - Employer Branding - Step 2/3 - Consideration - CI: Healthcare - TA: Health Care - Sweden - Multiple Cities - Edvin - N: Generell
Allmän rekrytering,Public Administration,Stor stad,Unknown,Facebook,416695,11924,28533.4,178,2.862,2.39,160.3,Trafikförvaltningen,Public Administration,Multiple Target Audiences,Sweden,Stockholm,Step 1/3,1.0,120217431381870675,Trafikförvaltningen - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Edvin - 2025
Administrativ assistent,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,634072,33488,28240.72,453,5.281,0.84,62.34,Rusta Sverige (101),Retail & Grocery Stores,Head Office,Sweden,Multiple Cities,Step 2/3,1.0,23852012272310147,Rusta Sverige (101) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Head Office - Sweden - Multiple Cities - Edvin - HK
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Facebook,503807,11035,28035.69,458,2.19,2.54,61.21,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 2/3,1.0,23855405580430652,Epidemic Sound - Employer Branding - Step 2/3 - Consideration - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Underhållstekniker,Telecommunication,Multiple Cities,Unknown,Facebook,519581,15465,27965.02,322,2.976,1.81,86.85,Teracom (232),Telecommunication,"Installation, Operations & Maintenance",Sweden,Multiple cities,Step 2/3,1.0,23851851053010538,"Teracom (232) - Employer Branding - Step 2/3 - Consideration - CI: Telecommunication - TA: Installation, Operations & Maintenance - Sweden - Multiple cities - Edvin - Fält"
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Facebook,513466,15134,27712.54,458,2.947,1.83,60.51,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 3/3,1.0,120208071999030653,Epidemic Sound - Employer Branding - Step 3/3 - Decision - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin - N:
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Linkedin,61843,825,27455.71,382,1.334,33.28,71.87,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 3/3,1.0,299594903,Epidemic Sound - Employer Branding - Step 3/3 - Decision - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin - N:
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Tiktok,1735335,18501,26940.71,423,1.066,1.46,63.69,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 3/3,1.0,1795228001142818,Epidemic Sound - Employer Branding - Step 3/3 - Decision - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin - N:
Försäljningsrepresentant,Technology & Electronics,Liten stad,Unknown,Facebook,278555,3402,26519.85,92,1.221,7.8,288.26,Epidemic sound,Technology & Electronics,Sales,USA,New York,Step 1/2,1.0,120214066315520653,Epidemic sound - Two Step Advertising - Step 1/2 - Awareness - CI: Technology & Electronics - TA: Sales - USA - New York - EDVIN - N:
Försäljningsrepresentant,Technology & Electronics,Liten stad,Unknown,Facebook,297936,4003,26519.51,92,1.344,6.62,288.26,Epidemic sound- Two Step Advertising,Technology & Electronics,Sales,USA,New York,Decision,1.0,120214134813960653,Epidemic sound- Two Step Advertising - Step 2/2 - Decision - CI: Technology & Electronics - TA: Sales - USA - New York - Edvin - N:
IT-specialist,Telecommunication,Stor stad,Unknown,Facebook,342068,6937,26096.42,326,2.028,3.76,80.05,Teracom (232),Telecommunication,Data & IT,Sweden,Stockholm,Step 1/3,1.0,23851643317810538,Teracom (232) - Employer Branding - Step 1/3 - Awareness - CI: Telecommunication - TA: Data & IT - Sweden - Stockholm - Edvin - IT
Ekonom,Consulting,Stor stad,Unknown,Linkedin,34655,111,26078.54,343,0.32,234.94,76.03,421 (194),Consulting,Economy & Finance,Sweden,Stockholm,Step 1/3,1.0,208013544,421 (194) - Employer Branding - Step 1/3 - Awareness - CI: Consulting - TA: Economy & Finance - Sweden - Stockholm - Edvin
Fastighetsmäklare,Real Estate,Stor stad,Unknown,Linkedin,33375,221,25840.4,343,0.662,116.92,75.34,Fabege (36),Real Estate,Real Estate,Sweden,Stockholm,Step 1/3,1.0,188877983,Fabege (36) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin
Försäljningsrepresentant,Technology & Electronics,Liten stad,Unknown,Linkedin,35470,125,25740.0,92,0.352,205.92,279.78,Epidemic sound,Technology & Electronics,Sales,USA,New York,Step 1/2,1.0,346753233,Epidemic sound - Two Step Advertising - Step 1/2 - Awareness - CI: Technology & Electronics - TA: Sales - USA - New York - EDVIN - N:
Försäljningsrepresentant,Technology & Electronics,Liten stad,Unknown,Linkedin,35389,186,25739.8,92,0.526,138.39,279.78,Epidemic sound- Two Step Advertising,Technology & Electronics,Sales,USA,New York,Decision,1.0,346772443,Epidemic sound- Two Step Advertising - Step 2/2 - Decision - CI: Technology & Electronics - TA: Sales - USA - New York - Edvin - N:
Försäljningsrepresentant,Technology & Electronics,Liten stad,Unknown,Tiktok,584568,4352,25729.75,92,0.744,5.91,279.67,Epidemic sound,Technology & Electronics,Sales,USA,New York,Step 1/2,1.0,1816958753522945,Epidemic sound - Two Step Advertising - Step 1/2 - Awareness - CI: Technology & Electronics - TA: Sales - USA - New York - EDVIN - N:
Försäljningsrepresentant,Technology & Electronics,Liten stad,Unknown,Tiktok,414999,5248,25729.26,92,1.265,4.9,279.67,Epidemic sound- Two Step Advertising,Technology & Electronics,Sales,USA,New York,Decision,1.0,1816959345322113,Epidemic sound- Two Step Advertising - Step 2/2 - Decision - CI: Technology & Electronics - TA: Sales - USA - New York - Edvin - N:
Fastighetsmäklare,Real Estate,Stor stad,Unknown,Linkedin,49119,810,25656.27,366,1.649,31.67,70.1,Hemsö (115),Real Estate,Real Estate,Sweden,Stockholm,Step 2/3,1.0,218030283,Hemsö (115) - Employer Branding - Step 2/3 - Consideration - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin
Säkerhetsvakt,Safety & Security,Liten stad,Unknown,Facebook,463474,12749,25437.12,186,2.751,2.0,136.76,Securitas,Safety & Security,Safety & Security,Sweden,,Step 1/3,0.8,120216585364000123,Securitas - Employer Branding - Step 1/3 - Awareness - CI: Safety & Security - TA: Safety & Security - Sweden -  - Edvin - N:
IT-specialist,Technology & Electronics,Multiple Cities,Unknown,Linkedin,63107,336,25367.93,352,0.532,75.5,72.07,Epidemic Sound,Technology & Electronics,Data & IT,Sweden,Multiple cities,Step 2/3,1.0,231105173,Epidemic Sound - Employer Branding - Step 2/3 - Consideration - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin
Allmän rekrytering,Real Estate,Multiple Cities,Unknown,Facebook,389634,15537,25322.49,457,3.988,1.63,55.41,SBC (264),Real Estate,Multiple Target Audiences,Sweden,Multiple Cities,Step 1/3,1.0,23852001488890727,SBC (264) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin
Allmän rekrytering,Healthcare,Stor stad,Unknown,Facebook,422222,17766,24793.8,217,4.208,1.4,114.26,Stockholms Sjukhem (xxx),Healthcare,Multiple Target Audiences,Sweden,Stockholm,Step 1/2,1.0,120207987211630459,Stockholms Sjukhem (xxx) - Employer Branding - Step 1/2 - Awareness - CI: Healthcare - TA: Multiple Target Audiences - Sweden - Stockholm - Moa - N:
